iter	Logloss
0	0.5902388519
1	0.5309392218
2	0.4878209505
3	0.4581184736
4	0.4385915023
5	0.4131408345
6	0.3970432425
7	0.3775462815
8	0.3612650782
9	0.3348278305
10	0.3187752381
11	0.3115013857
12	0.291937528
13	0.2813021432
14	0.2745322222
15	0.2704844268
16	0.2632904517
17	0.2602133186
18	0.2564725429
19	0.2524348026
20	0.2387332729
21	0.2349667028
22	0.2301905648
23	0.2258227856
24	0.2189994854
25	0.2172136873
26	0.2137522529
27	0.211572642
28	0.2084512177
29	0.2073167404
30	0.2039338174
31	0.2025930148
32	0.1959508794
33	0.1945746791
34	0.193346191
35	0.1918302399
36	0.1912210079
37	0.1887999291
38	0.1859098779
39	0.1838084317
40	0.1812427419
41	0.1806087799
42	0.1785104475
43	0.1768468215
44	0.1763264407
45	0.1755859751
46	0.1748753736
47	0.1741551014
48	0.1735617557
49	0.1729887468
50	0.1721514106
51	0.1714082677
52	0.1702732292
53	0.1677648873
54	0.1673012614
55	0.1664220406
56	0.1656560934
57	0.1651868376
58	0.1641777055
59	0.1637598416
60	0.1633966071
61	0.1631409169
62	0.162443153
63	0.1622046507
64	0.1616070892
65	0.1613544069
66	0.1605991265
67	0.1599536255
68	0.1596782263
69	0.1591035879
70	0.1588651705
71	0.1579106938
72	0.1575368353
73	0.1571178274
74	0.1561717305
75	0.155627672
76	0.1553139405
77	0.1550469429
78	0.1546965595
79	0.1544655827
80	0.1541745752
81	0.1538993174
82	0.1537026094
83	0.1533894888
84	0.1526117003
85	0.1522204648
86	0.1515981223
87	0.1504626222
88	0.1501801117
89	0.149166471
90	0.1489309902
91	0.1486840351
92	0.1480410636
93	0.1474051567
94	0.1472199846
95	0.1469272446
96	0.1464448279
97	0.1459266911
98	0.1457894132
99	0.1455865184
100	0.1453284624
101	0.1445193735
102	0.1442510685
103	0.1439859468
104	0.1438035787
105	0.1434453573
106	0.1432331731
107	0.1427779125
108	0.1424330354
109	0.1421986247
110	0.1419841524
111	0.1416495987
112	0.1414277222
113	0.1412142229
114	0.1410023216
115	0.1405472506
116	0.1402149904
117	0.1399788018
118	0.1398584203
119	0.1393483499
120	0.1391209441
121	0.1389363735
122	0.1386963178
123	0.1385254631
124	0.1384041139
125	0.1382894548
126	0.1375577409
127	0.1374261659
128	0.1371788831
129	0.136873581
130	0.1365779725
131	0.1364315262
132	0.1362142196
133	0.1359957183
134	0.1358176184
135	0.1356268584
136	0.1353691174
137	0.1351055054
138	0.1348835741
139	0.1347051413
140	0.1345746915
141	0.1342853103
142	0.1340304439
143	0.133813452
144	0.1335637395
145	0.1334245044
146	0.1330304438
147	0.1328230304
148	0.1326363718
149	0.1323873239
150	0.132173842
151	0.1320493959
152	0.1315170847
153	0.1312345948
154	0.1310628936
155	0.1309027823
156	0.1307599686
157	0.1306100738
158	0.1303277452
159	0.1301959229
160	0.1300631904
161	0.129917135
162	0.1296704103
163	0.1294514454
164	0.1292944878
165	0.128962829
166	0.1287512287
167	0.128580973
168	0.1284134155
169	0.1282563683
170	0.1280951052
171	0.1279847369
172	0.1277735517
173	0.1275956176
174	0.1274198861
175	0.1272364068
176	0.127049118
177	0.1268750018
178	0.1267386064
179	0.1266570299
180	0.1265016325
181	0.1263586409
182	0.1260293885
183	0.1258490794
184	0.1256612085
185	0.1255116946
186	0.1250231548
187	0.1248280215
188	0.1246457737
189	0.1243963485
190	0.124246836
191	0.1240851828
192	0.1239052314
193	0.1236939986
194	0.1235842918
195	0.1234149647
196	0.123315405
197	0.1231021105
198	0.1230023502
199	0.1228580267
200	0.1226603631
201	0.1224475482
202	0.122235684
203	0.1220912276
204	0.1218905317
205	0.1217294941
206	0.1216099125
207	0.1214616041
208	0.1212909057
209	0.1211632372
210	0.1209501323
211	0.120842817
212	0.1206568393
213	0.1205162768
214	0.1203773732
215	0.1201657715
216	0.1200275142
217	0.1199088716
218	0.1197923386
219	0.11965618
220	0.1194691773
221	0.1192863757
222	0.1191009399
223	0.1189754439
224	0.118831502
225	0.1185782804
226	0.1183427155
227	0.1181877002
228	0.118032679
229	0.117810996
230	0.1176281396
231	0.1174670339
232	0.1173290712
233	0.1171935079
234	0.1170510878
235	0.1169359242
236	0.1167969164
237	0.1165558115
238	0.116392703
239	0.1162345231
240	0.1160619518
241	0.1158459218
242	0.115766035
243	0.1156123059
244	0.1155026985
245	0.1153663133
246	0.115176176
247	0.1150464494
248	0.1149289933
249	0.1148044806
250	0.11469873
251	0.1146252333
252	0.1144579968
253	0.1143347643
254	0.1142105192
255	0.1140845495
256	0.1140083505
257	0.1139053535
258	0.1137372005
259	0.1136466468
260	0.1134748977
261	0.1133815176
262	0.1132206866
263	0.1131285662
264	0.113027391
265	0.1128679592
266	0.1127123506
267	0.112560897
268	0.1124567233
269	0.1122558914
270	0.1121329792
271	0.1119858429
272	0.1118177599
273	0.1116425887
274	0.1115140363
275	0.1113885778
276	0.1112430155
277	0.111054199
278	0.1109172037
279	0.1107989191
280	0.1106957619
281	0.1104675737
282	0.1103497
283	0.1102209673
284	0.1101282273
285	0.1100187572
286	0.1099468393
287	0.1098633834
288	0.1097231131
289	0.1095782411
290	0.1094035188
291	0.1092617582
292	0.1091049671
293	0.1090026797
294	0.1089025017
295	0.1087721512
296	0.1086035964
297	0.1084609028
298	0.1083245194
299	0.1082120563
